country,continent,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Afghanistan,Asia,41.674,16317921,649.3413952000002,AFG,4
Albania,Europe,71.581,3326498,2497.437901,ALB,8
Algeria,Africa,67.744,26298373,5023.216647,DZA,12
Angola,Africa,40.647,8735988,2627.845685,AGO,24
Argentina,Americas,71.868,33958947,9308.41871,ARG,32
Australia,Oceania,77.56,17481977,23424.76683,AUS,36
Austria,Europe,76.04,7914969,27042.01868,AUT,40
Bahrain,Asia,72.601,529491,19035.57917,BHR,48
Bangladesh,Asia,56.018,113704579,837.8101642999999,BGD,50
Belgium,Europe,76.46,10045622,25575.57069,BEL,56
Benin,Africa,53.919,4981671,1191.207681,BEN,204
Bolivia,Americas,59.957,6893451,2961.699694,BOL,68
Bosnia and Herzegovina,Europe,72.178,4256013,2546.781445,BIH,70
Botswana,Africa,62.745,1342614,7954.111645,BWA,72
Brazil,Americas,67.057,155975974,6950.283020999998,BRA,76
Bulgaria,Europe,71.19,8658506,6302.623438000001,BGR,100
Burkina Faso,Africa,50.26,8878303,931.7527731,BFA,854
Burundi,Africa,44.736,5809236,631.6998778,BDI,108
Cambodia,Asia,55.803,10150094,682.3031755,KHM,116
Cameroon,Africa,54.31399999999999,12467171,1793.1632780000002,CMR,120
Canada,Americas,77.95,28523502,26342.88426,CAN,124
Central African Republic,Africa,49.396,3265124,747.9055252,CAF,140
Chad,Africa,51.724,6429417,1058.0643,TCD,148
Chile,Americas,74.126,13572994,7596.125964,CHL,152
China,Asia,68.69,1164970000,1655.784158,CHN,156
Colombia,Americas,68.421,34202721,5444.648617,COL,170
Comoros,Africa,57.93899999999999,454429,1246.90737,COM,174
"Congo, Dem. Rep.",Africa,45.548,41672143,457.7191807,COD,180
"Congo, Rep.",Africa,56.433,2409073,4016.239529,COG,178
Costa Rica,Americas,75.71300000000002,3173216,6160.416317,CRI,188
Cote d'Ivoire,Africa,52.044,12772596,1648.073791,CIV,384
Croatia,Europe,72.527,4494013,8447.794873,HRV,191
Cuba,Americas,74.414,10723260,5592.843963,CUB,192
Czech Republic,Europe,72.4,10315702,14297.02122,CZE,203
Denmark,Europe,75.33,5171393,26406.73985,DNK,208
Djibouti,Africa,51.604,384156,2377.156192000001,DJI,262
Dominican Republic,Americas,68.457,7351181,3044.214214,DOM,214
Ecuador,Americas,69.613,10748394,7103.702595000002,ECU,218
Egypt,Africa,63.674,59402198,3794.755195,EGY,818
El Salvador,Americas,66.798,5274649,4444.2317,SLV,222
Equatorial Guinea,Africa,47.545,387838,1132.055034,GNQ,226
Eritrea,Africa,49.99100000000001,3668440,582.8585102000002,ERI,232
Ethiopia,Africa,48.091,52088559,421.3534653,ETH,231
Finland,Europe,75.7,5041039,20647.16499,FIN,246
France,Europe,77.46,57374179,24703.79615,FRA,250
Gabon,Africa,61.36600000000001,985739,13522.15752,GAB,266
Gambia,Africa,52.644,1025384,665.6244126,GMB,270
Germany,Europe,76.07,80597764,26505.30317,DEU,276
Ghana,Africa,57.50100000000001,16278738,925.060154,GHA,288
Greece,Europe,77.03,10325429,17541.49634,GRC,300
Guatemala,Americas,63.37300000000001,8486949,4439.45084,GTM,320
Guinea,Africa,48.576,6990574,794.3484384,GIN,324
Guinea-Bissau,Africa,43.26600000000001,1050938,745.5398706,GNB,624
Haiti,Americas,55.089,6326682,1456.309517,HTI,332
Honduras,Americas,66.399,5077347,3081.694603,HND,340
"Hong Kong, China",Asia,77.601,5829696,24757.60301,HKG,344
