country,continent,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Afghanistan,Asia,42.129,25268405,726.7340548,AFG,4
Albania,Europe,75.65100000000002,3508512,4604.211737,ALB,8
Algeria,Africa,70.994,31287142,5288.040382,DZA,12
Angola,Africa,41.003,10866106,2773.287312,AGO,24
Argentina,Americas,74.34,38331121,8797.640716,ARG,32
Australia,Oceania,80.37,19546792,30687.75473,AUS,36
Austria,Europe,78.98,8148312,32417.60769,AUT,40
Bahrain,Asia,74.795,656397,23403.55927,BHR,48
Bangladesh,Asia,62.01300000000001,135656790,1136.3904300000004,BGD,50
Belgium,Europe,78.32,10311970,30485.88375,BEL,56
Benin,Africa,54.40600000000001,7026113,1372.877931,BEN,204
Bolivia,Americas,63.883,8445134,3413.26269,BOL,68
Bosnia and Herzegovina,Europe,74.09,4165416,6018.975239,BIH,70
Botswana,Africa,46.63399999999999,1630347,11003.60508,BWA,72
Brazil,Americas,71.006,179914212,8131.212843000001,BRA,76
Bulgaria,Europe,72.14,7661799,7696.777725,BGR,100
Burkina Faso,Africa,50.65,12251209,1037.645221,BFA,854
Burundi,Africa,47.36,7021078,446.4035126,BDI,108
Cambodia,Asia,56.752,12926707,896.2260152999999,KHM,116
Cameroon,Africa,49.856,15929988,1934.011449,CMR,120
Canada,Americas,79.77,31902268,33328.96507,CAN,124
Central African Republic,Africa,43.308,4048013,738.6906068,CAF,140
Chad,Africa,50.525,8835739,1156.18186,TCD,148
Chile,Americas,77.86,15497046,10778.78385,CHL,152
China,Asia,72.028,1280400000,3119.280896,CHN,156
Colombia,Americas,71.682,41008227,5755.259962,COL,170
Comoros,Africa,62.974,614382,1075.811558,COM,174
"Congo, Dem. Rep.",Africa,44.966,55379852,241.1658765,COD,180
"Congo, Rep.",Africa,52.97,3328795,3484.06197,COG,178
Costa Rica,Americas,78.123,3834934,7723.447195000002,CRI,188
Cote d'Ivoire,Africa,46.832,16252726,1648.800823,CIV,384
Croatia,Europe,74.876,4481020,11628.38895,HRV,191
Cuba,Americas,77.158,11226999,6340.646683,CUB,192
Czech Republic,Europe,75.51,10256295,17596.210219999994,CZE,203
Denmark,Europe,77.18,5374693,32166.50006,DNK,208
Djibouti,Africa,53.37300000000001,447416,1908.260867,DJI,262
Dominican Republic,Americas,70.847,8650322,4563.808154,DOM,214
Ecuador,Americas,74.173,12921234,5773.044512,ECU,218
Egypt,Africa,69.806,73312559,4754.604414,EGY,818
El Salvador,Americas,70.734,6353681,5351.568665999999,SLV,222
Equatorial Guinea,Africa,49.348,495627,7703.4959,GNQ,226
Eritrea,Africa,55.24,4414865,765.3500015,ERI,232
Ethiopia,Africa,50.725,67946797,530.0535319,ETH,231
Finland,Europe,78.37,5193039,28204.59057,FIN,246
France,Europe,79.59,59925035,28926.03234,FRA,250
Gabon,Africa,56.761,1299304,12521.71392,GAB,266
Gambia,Africa,58.041,1457766,660.5855997,GMB,270
Germany,Europe,78.67,82350671,30035.80198,DEU,276
Ghana,Africa,58.453,20550751,1111.9845779999996,GHA,288
Greece,Europe,78.256,10603863,22514.2548,GRC,300
Guatemala,Americas,68.97800000000001,11178650,4858.347495,GTM,320
Guinea,Africa,53.676,8807818,945.5835837,GIN,324
Guinea-Bissau,Africa,45.504,1332459,575.7047176,GNB,624
Haiti,Americas,58.137,7607651,1270.364932,HTI,332
Honduras,Americas,68.565,6677328,3099.72866,HND,340
