country,continent,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Afghanistan,Asia,28.801,8425333,779.4453145,AFG,4
Albania,Europe,55.23,1282697,1601.056136,ALB,8
Algeria,Africa,43.077,9279525,2449.008185,DZA,12
Angola,Africa,30.015,4232095,3520.610273,AGO,24
Argentina,Americas,62.485,17876956,5911.315053,ARG,32
Australia,Oceania,69.12,8691212,10039.59564,AUS,36
Austria,Europe,66.8,6927772,6137.076492,AUT,40
Bahrain,Asia,50.93899999999999,120447,9867.084765,BHR,48
Bangladesh,Asia,37.484,46886859,684.2441716,BGD,50
Belgium,Europe,68.0,8730405,8343.105126999999,BEL,56
Benin,Africa,38.223,1738315,1062.7522,BEN,204
Bolivia,Americas,40.414,2883315,2677.326347,BOL,68
Bosnia and Herzegovina,Europe,53.82,2791000,973.5331948,BIH,70
Botswana,Africa,47.622,442308,851.2411407,BWA,72
Brazil,Americas,50.917,56602560,2108.944355,BRA,76
Bulgaria,Europe,59.6,7274900,2444.286648,BGR,100
Burkina Faso,Africa,31.975,4469979,543.2552413,BFA,854
Burundi,Africa,39.031,2445618,339.2964587,BDI,108
Cambodia,Asia,39.417,4693836,368.4692856,KHM,116
Cameroon,Africa,38.523,5009067,1172.667655,CMR,120
Canada,Americas,68.75,14785584,11367.16112,CAN,124
Central African Republic,Africa,35.463,1291695,1071.310713,CAF,140
Chad,Africa,38.092,2682462,1178.665927,TCD,148
Chile,Americas,54.745,6377619,3939.978789,CHL,152
China,Asia,44.0,556263527,400.448611,CHN,156
Colombia,Americas,50.643,12350771,2144.115096,COL,170
Comoros,Africa,40.715,153936,1102.990936,COM,174
"Congo, Dem. Rep.",Africa,39.143,14100005,780.5423257,COD,180
"Congo, Rep.",Africa,42.111,854885,2125.621418,COG,178
Costa Rica,Americas,57.206,926317,2627.0094710000008,CRI,188
Cote d'Ivoire,Africa,40.477,2977019,1388.594732,CIV,384
Croatia,Europe,61.21,3882229,3119.23652,HRV,191
Cuba,Americas,59.42100000000001,6007797,5586.53878,CUB,192
Czech Republic,Europe,66.87,9125183,6876.14025,CZE,203
Denmark,Europe,70.78,4334000,9692.385245,DNK,208
Djibouti,Africa,34.812,63149,2669.529475,DJI,262
Dominican Republic,Americas,45.928,2491346,1397.717137,DOM,214
Ecuador,Americas,48.357,3548753,3522.110717,ECU,218
Egypt,Africa,41.893,22223309,1418.822445,EGY,818
El Salvador,Americas,45.262,2042865,3048.3029,SLV,222
Equatorial Guinea,Africa,34.482,216964,375.6431231,GNQ,226
Eritrea,Africa,35.92800000000001,1438760,328.9405571000001,ERI,232
Ethiopia,Africa,34.078,20860941,362.1462796,ETH,231
Finland,Europe,66.55,4090500,6424.519071,FIN,246
France,Europe,67.41,42459667,7029.809327,FRA,250
Gabon,Africa,37.003,420702,4293.476475,GAB,266
Gambia,Africa,30.0,284320,485.2306591,GMB,270
Germany,Europe,67.5,69145952,7144.114393000002,DEU,276
Ghana,Africa,43.149,5581001,911.2989371,GHA,288
Greece,Europe,65.86,7733250,3530.690067,GRC,300
Guatemala,Americas,42.023,3146381,2428.2377690000008,GTM,320
Guinea,Africa,33.609,2664249,510.1964923000001,GIN,324
Guinea-Bissau,Africa,32.5,580653,299.850319,GNB,624
Haiti,Americas,37.579,3201488,1840.366939,HTI,332
Honduras,Americas,41.912,1517453,2194.926204,HND,340
"Hong Kong, China",Asia,60.96,2125900,3054.421209,HKG,344
Hungary,Europe,64.03,9504000,5263.673816,HUN,348
Iceland,Europe,72.49,147962,7267.688428,ISL,352
India,Asia,37.37300000000001,372000000,546.5657493,IND,356
Indonesia,Asia,37.468,82052000,749.6816546,IDN,360
Iran,Asia,44.869,17272000,3035.326002,IRN,364
Iraq,Asia,45.32,5441766,4129.766056,IRQ,368
Ireland,Europe,66.91,2952156,5210.280328,IRL,372
Israel,Asia,65.39,1620914,4086.522128,ISR,376
Italy,Europe,65.94,47666000,4931.404154999998,ITA,380
Jamaica,Americas,58.53,1426095,2898.530881,JAM,388
Japan,Asia,63.03,86459025,3216.956347,JPN,392
Jordan,Asia,43.158,607914,1546.907807,JOR,400
Kenya,Africa,42.27,6464046,853.5409189999998,KEN,404
"Korea, Dem. Rep.",Asia,50.056,8865488,1088.277758,KOR,410
"Korea, Rep.",Asia,47.453,20947571,1030.592226,KOR,410
Kuwait,Asia,55.565,160000,108382.3529,KWT,414
Lebanon,Asia,55.928,1439529,4834.804067,LBN,422
Lesotho,Africa,42.13800000000001,748747,298.8462121,LSO,426
Liberia,Africa,38.48,863308,575.5729961000002,LBR,430
Libya,Africa,42.723,1019729,2387.54806,LBY,434
Madagascar,Africa,36.681,4762912,1443.011715,MDG,450
