country,continent,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Afghanistan,Asia,41.76300000000001,22227415,635.341351,AFG,4
Albania,Europe,72.95,3428038,3193.054604,ALB,8
Algeria,Africa,69.152,29072015,4797.295051,DZA,12
Angola,Africa,40.963,9875024,2277.140884,AGO,24
Argentina,Americas,73.275,36203463,10967.28195,ARG,32
Australia,Oceania,78.83,18565243,26997.93657,AUS,36
Austria,Europe,77.51,8069876,29095.920660000003,AUT,40
Bahrain,Asia,73.925,598561,20292.01679,BHR,48
Bangladesh,Asia,59.412,123315288,972.7700352,BGD,50
Belgium,Europe,77.53,10199787,27561.19663,BEL,56
Benin,Africa,54.777,6066080,1232.975292,BEN,204
Bolivia,Americas,62.05,7693188,3326.143191,BOL,68
Bosnia and Herzegovina,Europe,73.244,3607000,4766.355904,BIH,70
Botswana,Africa,52.556,1536536,8647.142313,BWA,72
Brazil,Americas,69.388,168546719,7957.980823999998,BRA,76
Bulgaria,Europe,70.32,8066057,5970.38876,BGR,100
Burkina Faso,Africa,50.324,10352843,946.2949618,BFA,854
Burundi,Africa,45.326,6121610,463.1151478,BDI,108
Cambodia,Asia,56.534,11782962,734.28517,KHM,116
Cameroon,Africa,52.199,14195809,1694.337469,CMR,120
Canada,Americas,78.61,30305843,28954.92589,CAN,124
Central African Republic,Africa,46.066,3696513,740.5063317,CAF,140
Chad,Africa,51.573,7562011,1004.961353,TCD,148
Chile,Americas,75.816,14599929,10118.05318,CHL,152
China,Asia,70.426,1230075000,2289.234136,CHN,156
Colombia,Americas,70.313,37657830,6117.361746000001,COL,170
Comoros,Africa,60.66,527982,1173.618235,COM,174
"Congo, Dem. Rep.",Africa,42.587,47798986,312.188423,COD,180
"Congo, Rep.",Africa,52.962,2800947,3484.164376,COG,178
Costa Rica,Americas,77.26,3518107,6677.045314,CRI,188
Cote d'Ivoire,Africa,47.99100000000001,14625967,1786.265407,CIV,384
Croatia,Europe,73.68,4444595,9875.604515,HRV,191
Cuba,Americas,76.15100000000002,10983007,5431.990415,CUB,192
Czech Republic,Europe,74.01,10300707,16048.51424,CZE,203
Denmark,Europe,76.11,5283663,29804.34567,DNK,208
Djibouti,Africa,53.157,417908,1895.016984,DJI,262
Dominican Republic,Americas,69.957,7992357,3614.101285,DOM,214
Ecuador,Americas,72.312,11911819,7429.4558769999985,ECU,218
Egypt,Africa,67.217,66134291,4173.181797,EGY,818
El Salvador,Americas,69.535,5783439,5154.825496,SLV,222
Equatorial Guinea,Africa,48.245,439971,2814.480755,GNQ,226
Eritrea,Africa,53.378,4058319,913.47079,ERI,232
Ethiopia,Africa,49.402,59861301,515.8894013,ETH,231
Finland,Europe,77.13,5134406,23723.9502,FIN,246
France,Europe,78.64,58623428,25889.78487,FRA,250
Gabon,Africa,60.46100000000001,1126189,14722.841880000002,GAB,266
Gambia,Africa,55.861,1235767,653.7301704,GMB,270
Germany,Europe,77.34,82011073,27788.88416,DEU,276
Ghana,Africa,58.556,18418288,1005.245812,GHA,288
Greece,Europe,77.869,10502372,18747.69814,GRC,300
Guatemala,Americas,66.322,9803875,4684.313807,GTM,320
Guinea,Africa,51.455,8048834,869.4497667999998,GIN,324
Guinea-Bissau,Africa,44.87300000000001,1193708,796.6644681,GNB,624
Haiti,Americas,56.67100000000001,6913545,1341.726931,HTI,332
Honduras,Americas,67.65899999999999,5867957,3160.454906,HND,340
"Hong Kong, China",Asia,80.0,6495918,28377.63219,HKG,344
Hungary,Europe,71.04,10244684,11712.7768,HUN,348
Iceland,Europe,78.95,271192,28061.099660000003,ISL,352
India,Asia,61.765,959000000,1458.817442,IND,356
Indonesia,Asia,66.041,199278000,3119.335603,IDN,360
Iran,Asia,68.042,63327987,8263.590301,IRN,364
Iraq,Asia,58.81100000000001,20775703,3076.239795,IRQ,368
Ireland,Europe,76.122,3667233,24521.94713,IRL,372
Israel,Asia,78.26899999999998,5531387,20896.60924,ISR,376
Italy,Europe,78.82,57479469,24675.02446,ITA,380
Jamaica,Americas,72.262,2531311,7121.924704000001,JAM,388
Japan,Asia,80.69,125956499,28816.58499,JPN,392
Jordan,Asia,69.77199999999999,4526235,3645.379572,JOR,400
Kenya,Africa,54.407,28263827,1360.4850210000004,KEN,404
"Korea, Dem. Rep.",Asia,67.727,21585105,1690.756814,KOR,410
"Korea, Rep.",Asia,74.64699999999998,46173816,15993.52796,KOR,410
Kuwait,Asia,76.156,1765345,40300.61996,KWT,414
Lebanon,Asia,70.265,3430388,8754.96385,LBN,422
Lesotho,Africa,55.558,1982823,1186.147994,LSO,426
Liberia,Africa,42.221,2200725,609.1739508,LBR,430
Libya,Africa,71.555,4759670,9467.446056,LBY,434
Madagascar,Africa,54.978,14165114,986.2958956,MDG,450
