country,continent,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Afghanistan,Asia,30.332,9240934,820.8530296,AFG,4
Albania,Europe,59.28,1476505,1942.284244,ALB,8
Algeria,Africa,45.685,10270856,3013.976023,DZA,12
Angola,Africa,31.999,4561361,3827.940465,AGO,24
Argentina,Americas,64.399,19610538,6856.8562120000015,ARG,32
Australia,Oceania,70.33,9712569,10949.64959,AUS,36
Austria,Europe,67.48,6965860,8842.59803,AUT,40
Bahrain,Asia,53.832,138655,11635.79945,BHR,48
Bangladesh,Asia,39.348,51365468,661.6374577,BGD,50
Belgium,Europe,69.24,8989111,9714.960623,BEL,56
Benin,Africa,40.358,1925173,959.6010805,BEN,204
Bolivia,Americas,41.89,3211738,2127.686326,BOL,68
Bosnia and Herzegovina,Europe,58.45,3076000,1353.989176,BIH,70
Botswana,Africa,49.618,474639,918.2325349,BWA,72
Brazil,Americas,53.285,65551171,2487.365989,BRA,76
Bulgaria,Europe,66.61,7651254,3008.670727,BGR,100
Burkina Faso,Africa,34.906,4713416,617.1834647999998,BFA,854
Burundi,Africa,40.533,2667518,379.5646281000001,BDI,108
Cambodia,Asia,41.36600000000001,5322536,434.0383364,KHM,116
Cameroon,Africa,40.428,5359923,1313.048099,CMR,120
Canada,Americas,69.96,17010154,12489.95006,CAN,124
Central African Republic,Africa,37.464,1392284,1190.844328,CAF,140
Chad,Africa,39.881,2894855,1308.495577,TCD,148
Chile,Americas,56.074,7048426,4315.622723,CHL,152
China,Asia,50.54896,637408000,575.9870009,CHN,156
Colombia,Americas,55.118,14485993,2323.805581,COL,170
Comoros,Africa,42.46,170928,1211.148548,COM,174
"Congo, Dem. Rep.",Africa,40.652,15577932,905.8602303,COD,180
"Congo, Rep.",Africa,45.053,940458,2315.056572,COG,178
Costa Rica,Americas,60.026,1112300,2990.010802,CRI,188
Cote d'Ivoire,Africa,42.469,3300000,1500.895925,CIV,384
Croatia,Europe,64.77,3991242,4338.231617,HRV,191
Cuba,Americas,62.325,6640752,6092.1743590000015,CUB,192
Czech Republic,Europe,69.03,9513758,8256.343918,CZE,203
Denmark,Europe,71.81,4487831,11099.65935,DNK,208
Djibouti,Africa,37.328,71851,2864.9690760000008,DJI,262
Dominican Republic,Americas,49.828,2923186,1544.402995,DOM,214
Ecuador,Americas,51.356,4058385,3780.546651,ECU,218
Egypt,Africa,44.444,25009741,1458.915272,EGY,818
El Salvador,Americas,48.57,2355805,3421.523218,SLV,222
Equatorial Guinea,Africa,35.98300000000001,232922,426.0964081,GNQ,226
Eritrea,Africa,38.047,1542611,344.1618859,ERI,232
Ethiopia,Africa,36.667,22815614,378.9041632,ETH,231
Finland,Europe,67.49,4324000,7545.415386,FIN,246
France,Europe,68.93,44310863,8662.834898000001,FRA,250
Gabon,Africa,38.999,434904,4976.198099,GAB,266
Gambia,Africa,32.065,323150,520.9267111,GMB,270
Germany,Europe,69.1,71019069,10187.82665,DEU,276
Ghana,Africa,44.779,6391288,1043.5615369999996,GHA,288
Greece,Europe,67.86,8096218,4916.299889,GRC,300
Guatemala,Americas,44.142,3640876,2617.155967,GTM,320
Guinea,Africa,34.558,2876726,576.2670245,GIN,324
Guinea-Bissau,Africa,33.489000000000004,601095,431.79045660000014,GNB,624
Haiti,Americas,40.696,3507701,1726.887882,HTI,332
Honduras,Americas,44.665,1770390,2220.487682,HND,340
"Hong Kong, China",Asia,64.75,2736300,3629.076457,HKG,344
Hungary,Europe,66.41,9839000,6040.180011,HUN,348
Iceland,Europe,73.47,165110,9244.001412,ISL,352
India,Asia,40.249,409000000,590.061996,IND,356
Indonesia,Asia,39.918,90124000,858.9002707000002,IDN,360
Iran,Asia,47.181,19792000,3290.257643,IRN,364
Iraq,Asia,48.437,6248643,6229.333562,IRQ,368
Ireland,Europe,68.9,2878220,5599.077872,IRL,372
Israel,Asia,67.84,1944401,5385.278451,ISR,376
Italy,Europe,67.81,49182000,6248.656232,ITA,380
Jamaica,Americas,62.61,1535090,4756.525781,JAM,388
Japan,Asia,65.5,91563009,4317.694365,JPN,392
Jordan,Asia,45.669,746559,1886.080591,JOR,400
Kenya,Africa,44.68600000000001,7454779,944.4383152,KEN,404
"Korea, Dem. Rep.",Asia,54.081,9411381,1571.134655,KOR,410
"Korea, Rep.",Asia,52.681,22611552,1487.593537,KOR,410
Kuwait,Asia,58.033,212846,113523.1329,KWT,414
Lebanon,Asia,59.489,1647412,6089.786934000002,LBN,422
Lesotho,Africa,45.047,813338,335.9971151000001,LSO,426
Liberia,Africa,39.486,975950,620.9699901,LBR,430
Libya,Africa,45.289,1201578,3448.284395,LBY,434
Madagascar,Africa,38.865,5181679,1589.20275,MDG,450
Malawi,Africa,37.207,3221238,416.3698064,MWI,454
Malaysia,Asia,52.102,7739235,1810.0669920000007,MYS,458
Mali,Africa,35.30699999999999,4241884,490.3821867,MLI,466
Mauritania,Africa,42.338,1076852,846.1202613,MRT,478
Mauritius,Africa,58.089,609816,2034.037981,MUS,480
Mexico,Americas,55.19,35015548,4131.546641,MEX,484
Mongolia,Asia,45.24800000000001,882134,912.6626085,MNG,496
Montenegro,Europe,61.448,442829,3682.259903,MNE,499
Morocco,Africa,45.423,11406350,1642.002314,MAR,504
Mozambique,Africa,33.779,7038035,495.58683330000014,MOZ,508
Myanmar,Asia,41.905,21731844,350.0,MMR,104
Namibia,Africa,45.226000000000006,548080,2621.448058,NAM,516
Nepal,Asia,37.686,9682338,597.9363557999999,NPL,524
Netherlands,Europe,72.99,11026383,11276.19344,NLD,528
New Zealand,Oceania,70.26,2229407,12247.39532,NZL,554
Nicaragua,Americas,45.432,1358828,3457.415947,NIC,558
Niger,Africa,38.598,3692184,835.5234025000002,NER,562
Nigeria,Africa,37.802,37173340,1100.5925630000004,NGA,566
Norway,Europe,73.44,3491938,11653.97304,NOR,578
Oman,Asia,40.08,561977,2242.746551,OMN,512
Pakistan,Asia,45.557,46679944,747.0835292,PAK,586
Panama,Americas,59.201,1063506,2961.800905,PAN,591
Paraguay,Americas,63.19600000000001,1770902,2046.154706,PRY,600
Peru,Americas,46.26300000000001,9146100,4245.256697999999,PER,604
Philippines,Asia,51.334,26072194,1547.944844,PHL,608
Poland,Europe,65.77,28235346,4734.253019,POL,616
Portugal,Europe,61.51,8817650,3774.571743,PRT,620
Puerto Rico,Americas,68.54,2260000,3907.156189,PRI,630
Reunion,Africa,55.09,308700,2769.451844,REU,638
Romania,Europe,64.1,17829327,3943.370225,ROU,642
Rwanda,Africa,41.5,2822082,540.2893982999999,RWA,646
Sao Tome and Principe,Africa,48.945,61325,860.7369026,STP,678
Saudi Arabia,Asia,42.868,4419650,8157.5912480000015,SAU,682
Senegal,Africa,39.329,3054547,1567.653006,SEN,686
Serbia,Europe,61.685,7271135,4981.090891,SRB,688
Sierra Leone,Africa,31.57,2295678,1004.484437,SLE,694
Singapore,Asia,63.179,1445929,2843.104409,SGP,702
Slovak Republic,Europe,67.45,3844277,6093.26298,SVK,703
Slovenia,Europe,67.85,1533070,5862.276629,SVN,705
Somalia,Africa,34.977,2780415,1258.147413,SOM,706
South Africa,Africa,47.985,16151549,5487.104219,ZAF,710
Spain,Europe,66.66,29841614,4564.80241,ESP,724
Sri Lanka,Asia,61.456,9128546,1072.546602,LKA,144
Sudan,Africa,39.624,9753392,1770.3370739999998,SDN,736
Swaziland,Africa,43.424,326741,1244.708364,SWZ,748
Sweden,Europe,72.49,7363802,9911.878226,SWE,752
Switzerland,Europe,70.56,5126000,17909.48973,CHE,756
Syria,Asia,48.284,4149908,2117.234893,SYR,760
Taiwan,Asia,62.4,10164215,1507.86129,TWN,158
Tanzania,Africa,42.974,9452826,698.5356073,TZA,834
Thailand,Asia,53.63,25041917,793.5774147999998,THA,764
Togo,Africa,41.208,1357445,925.9083202,TGO,768
Trinidad and Tobago,Americas,61.8,764900,4100.3934,TTO,780
Tunisia,Africa,47.1,3950849,1395.232468,TUN,788
Turkey,Europe,48.07899999999999,25670939,2218.754257,TUR,792
Uganda,Africa,42.57100000000001,6675501,774.3710692000002,UGA,800
United Kingdom,Europe,70.42,51430000,11283.17795,GBR,826
United States,Americas,69.49,171984000,14847.12712,USA,840
Uruguay,Americas,67.044,2424959,6150.772969,URY,858
Venezuela,Americas,57.907,6702668,9802.466526,VEN,862
Vietnam,Asia,42.887,28998543,676.2854477999998,VNM,704
West Bank and Gaza,Asia,45.67100000000001,1070439,1827.067742,PSE,275
"Yemen, Rep.",Asia,33.97,5498090,804.8304547,YEM,887
Zambia,Africa,44.077,3016000,1311.956766,ZMB,894
Zimbabwe,Africa,50.469,3646340,518.7642681,ZWE,716
