country,continent,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Afghanistan,Asia,40.822,13867957,852.3959447999998,AFG,4
Albania,Europe,72.0,3075321,3738.932735,ALB,8
Algeria,Africa,65.79899999999999,23254956,5681.358539,DZA,12
Angola,Africa,39.906,7874230,2430.208311,AGO,24
Argentina,Americas,70.774,31620918,9139.671389,ARG,32
Australia,Oceania,76.32,16257249,21888.88903,AUS,36
Austria,Europe,74.94,7578903,23687.82607,AUT,40
Bahrain,Asia,70.75,454612,18524.02406,BHR,48
Bangladesh,Asia,52.819,103764241,751.9794035,BGD,50
Belgium,Europe,75.35,9870200,22525.56308,BEL,56
Benin,Africa,52.337,4243788,1225.85601,BEN,204
Bolivia,Americas,57.25100000000001,6156369,2753.69149,BOL,68
Bosnia and Herzegovina,Europe,71.14,4338977,4314.114757,BIH,70
Botswana,Africa,63.622,1151184,6205.88385,BWA,72
Brazil,Americas,65.205,142938076,7807.095818000002,BRA,76
Bulgaria,Europe,71.34,8971958,8239.854824,BGR,100
Burkina Faso,Africa,49.557,7586551,912.0631417,BFA,854
Burundi,Africa,48.21100000000001,5126023,621.8188188999999,BDI,108
Cambodia,Asia,53.914,8371791,683.8955732000002,KHM,116
Cameroon,Africa,54.985,10780667,2602.664206,CMR,120
Canada,Americas,76.86,26549700,26626.51503,CAN,124
Central African Republic,Africa,50.485,2840009,844.8763504000002,CAF,140
Chad,Africa,51.051,5498955,952.386129,TCD,148
Chile,Americas,72.492,12463354,5547.063754,CHL,152
China,Asia,67.274,1084035000,1378.904018,CHN,156
Colombia,Americas,67.768,30964245,4903.2191,COL,170
Comoros,Africa,54.926,395114,1315.980812,COM,174
"Congo, Dem. Rep.",Africa,47.412,35481645,672.774812,COD,180
"Congo, Rep.",Africa,57.47,2064095,4201.194936999998,COG,178
Costa Rica,Americas,74.752,2799811,5629.915318,CRI,188
Cote d'Ivoire,Africa,54.655,10761098,2156.9560690000008,CIV,384
Croatia,Europe,71.52,4484310,13822.58394,HRV,191
Cuba,Americas,74.17399999999998,10239839,7532.924762999999,CUB,192
Czech Republic,Europe,71.58,10311597,16310.4434,CZE,203
Denmark,Europe,74.8,5127024,25116.17581,DNK,208
Djibouti,Africa,50.04,311025,2880.102568,DJI,262
Dominican Republic,Americas,66.046,6655297,2899.842175,DOM,214
Ecuador,Americas,67.23100000000001,9545158,6481.776993,ECU,218
Egypt,Africa,59.797,52799062,3885.46071,EGY,818
El Salvador,Americas,63.154,4842194,4140.442097,SLV,222
Equatorial Guinea,Africa,45.664,341244,966.8968149,GNQ,226
Eritrea,Africa,46.453,2915959,521.1341333,ERI,232
Ethiopia,Africa,46.684,42999530,573.7413142000001,ETH,231
Finland,Europe,74.83,4931729,21141.01223,FIN,246
France,Europe,76.34,55630100,22066.44214,FRA,250
Gabon,Africa,60.19,880397,11864.40844,GAB,266
Gambia,Africa,49.265,848406,611.6588611000002,GMB,270
Germany,Europe,74.847,77718298,24639.18566,DEU,276
Ghana,Africa,55.729,14168101,847.0061135,GHA,288
Greece,Europe,76.67,9974490,16120.52839,GRC,300
Guatemala,Americas,60.782,7326406,4246.485974,GTM,320
Guinea,Africa,45.552,5650262,805.5724717999999,GIN,324
