country,continent,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Afghanistan,Asia,38.438,14880372,786.11336,AFG,4
Albania,Europe,68.93,2509048,3533.003910000001,ALB,8
Algeria,Africa,58.014,17152804,4910.416756000001,DZA,12
Angola,Africa,39.483,6162675,3008.647355,AGO,24
Argentina,Americas,68.48100000000001,26983828,10079.02674,ARG,32
Australia,Oceania,73.49,14074100,18334.19751,AUS,36
Austria,Europe,72.17,7568430,19749.4223,AUT,40
Bahrain,Asia,65.593,297410,19340.10196,BHR,48
Bangladesh,Asia,46.923,80428306,659.8772322000002,BGD,50
Belgium,Europe,72.8,9821800,19117.97448,BEL,56
Benin,Africa,49.19,3168267,1029.161251,BEN,204
Bolivia,Americas,50.023,5079716,3548.097832,BOL,68
Bosnia and Herzegovina,Europe,69.86,4086000,3528.481305,BIH,70
Botswana,Africa,59.319,781472,3214.857818,BWA,72
Brazil,Americas,61.489,114313951,6660.118654,BRA,76
Bulgaria,Europe,70.81,8797022,7612.240438,BGR,100
Burkina Faso,Africa,46.137,5889574,743.3870368,BFA,854
Burundi,Africa,45.91,3834415,556.1032651,BDI,108
Cambodia,Asia,31.22,6978607,524.9721831999999,KHM,116
Cameroon,Africa,49.355,7959865,1783.432873,CMR,120
Canada,Americas,74.21,23796400,22090.88306,CAN,124
Central African Republic,Africa,46.775,2167533,1109.374338,CAF,140
Chad,Africa,47.383,4388260,1133.98495,TCD,148
Chile,Americas,67.05199999999999,10599793,4756.763836,CHL,152
China,Asia,63.96736,943455000,741.2374699,CHN,156
Colombia,Americas,63.837,25094412,3815.80787,COL,170
Comoros,Africa,50.93899999999999,304739,1172.603047,COM,174
"Congo, Dem. Rep.",Africa,47.804,26480870,795.757282,COD,180
"Congo, Rep.",Africa,55.625,1536769,3259.178978,COG,178
Costa Rica,Americas,70.75,2108457,5926.876967,CRI,188
Cote d'Ivoire,Africa,52.374,7459574,2517.736547,CIV,384
Croatia,Europe,70.64,4318673,11305.38517,HRV,191
Cuba,Americas,72.649,9537988,6380.494965999998,CUB,192
Czech Republic,Europe,70.71,10161915,14800.16062,CZE,203
Denmark,Europe,74.69,5088419,20422.9015,DNK,208
Djibouti,Africa,46.519,228694,3081.761022,DJI,262
Dominican Republic,Americas,61.788,5302800,2681.9889,DOM,214
Ecuador,Americas,61.31,7278866,6679.62326,ECU,218
Egypt,Africa,53.319,38783863,2785.493582,EGY,818
