country,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Afghanistan,1952,28.801,8425333,779.4453145,AFG,4
Afghanistan,1957,30.332,9240934,820.8530296,AFG,4
Afghanistan,1962,31.997,10267083,853.1007099999998,AFG,4
Afghanistan,1967,34.02,11537966,836.1971382,AFG,4
Afghanistan,1972,36.088,13079460,739.9811057999998,AFG,4
Afghanistan,1977,38.438,14880372,786.11336,AFG,4
Afghanistan,1982,39.854,12881816,978.0114388,AFG,4
Afghanistan,1987,40.822,13867957,852.3959447999998,AFG,4
Afghanistan,1992,41.674,16317921,649.3413952000002,AFG,4
Afghanistan,1997,41.76300000000001,22227415,635.341351,AFG,4
Afghanistan,2002,42.129,25268405,726.7340548,AFG,4
Afghanistan,2007,43.828,31889923,974.5803384,AFG,4
Bahrain,1952,50.93899999999999,120447,9867.084765,BHR,48
Bahrain,1957,53.832,138655,11635.79945,BHR,48
Bahrain,1962,56.923,171863,12753.27514,BHR,48
Bahrain,1967,59.923,202182,14804.6727,BHR,48
Bahrain,1972,63.3,230800,18268.65839,BHR,48
Bahrain,1977,65.593,297410,19340.10196,BHR,48
Bahrain,1982,69.05199999999999,377967,19211.14731,BHR,48
Bahrain,1987,70.75,454612,18524.02406,BHR,48
Bahrain,1992,72.601,529491,19035.57917,BHR,48
Bahrain,1997,73.925,598561,20292.01679,BHR,48
Bahrain,2002,74.795,656397,23403.55927,BHR,48
Bahrain,2007,75.635,708573,29796.04834,BHR,48
Bangladesh,1952,37.484,46886859,684.2441716,BGD,50
Bangladesh,1957,39.348,51365468,661.6374577,BGD,50
Bangladesh,1962,41.216,56839289,686.3415537999998,BGD,50
Bangladesh,1967,43.453,62821884,721.1860862000002,BGD,50
Bangladesh,1972,45.252,70759295,630.2336265,BGD,50
Bangladesh,1977,46.923,80428306,659.8772322000002,BGD,50
Bangladesh,1982,50.00899999999999,93074406,676.9818656,BGD,50
Bangladesh,1987,52.819,103764241,751.9794035,BGD,50
Bangladesh,1992,56.018,113704579,837.8101642999999,BGD,50
Bangladesh,1997,59.412,123315288,972.7700352,BGD,50
Bangladesh,2002,62.01300000000001,135656790,1136.3904300000004,BGD,50
Bangladesh,2007,64.062,150448339,1391.253792,BGD,50
Cambodia,1952,39.417,4693836,368.4692856,KHM,116
Cambodia,1957,41.36600000000001,5322536,434.0383364,KHM,116
Cambodia,1962,43.415,6083619,496.9136476,KHM,116
Cambodia,1967,45.415,6960067,523.4323142,KHM,116
Cambodia,1972,40.317,7450606,421.6240257,KHM,116
Cambodia,1977,31.22,6978607,524.9721831999999,KHM,116
Cambodia,1982,50.957,7272485,624.4754784,KHM,116
Cambodia,1987,53.914,8371791,683.8955732000002,KHM,116
Cambodia,1992,55.803,10150094,682.3031755,KHM,116
Cambodia,1997,56.534,11782962,734.28517,KHM,116
Cambodia,2002,56.752,12926707,896.2260152999999,KHM,116
Cambodia,2007,59.723,14131858,1713.778686,KHM,116
China,1952,44.0,556263527,400.448611,CHN,156
China,1957,50.54896,637408000,575.9870009,CHN,156
China,1962,44.50136,665770000,487.6740183,CHN,156
China,1967,58.38112,754550000,612.7056934,CHN,156
China,1972,63.11888,862030000,676.9000921,CHN,156
China,1977,63.96736,943455000,741.2374699,CHN,156
China,1982,65.525,1000281000,962.4213805,CHN,156
China,1987,67.274,1084035000,1378.904018,CHN,156
China,1992,68.69,1164970000,1655.784158,CHN,156
China,1997,70.426,1230075000,2289.234136,CHN,156
China,2002,72.028,1280400000,3119.280896,CHN,156
China,2007,72.961,1318683096,4959.114854,CHN,156
"Hong Kong, China",1952,60.96,2125900,3054.421209,HKG,344
"Hong Kong, China",1957,64.75,2736300,3629.076457,HKG,344
"Hong Kong, China",1962,67.65,3305200,4692.648271999999,HKG,344
"Hong Kong, China",1967,70.0,3722800,6197.962814,HKG,344
"Hong Kong, China",1972,72.0,4115700,8315.928145,HKG,344
"Hong Kong, China",1977,73.6,4583700,11186.14125,HKG,344
"Hong Kong, China",1982,75.45,5264500,14560.53051,HKG,344
"Hong Kong, China",1987,76.2,5584510,20038.47269,HKG,344
"Hong Kong, China",1992,77.601,5829696,24757.60301,HKG,344
"Hong Kong, China",1997,80.0,6495918,28377.63219,HKG,344
"Hong Kong, China",2002,81.495,6762476,30209.015160000006,HKG,344
"Hong Kong, China",2007,82.208,6980412,39724.97867,HKG,344
India,1952,37.37300000000001,372000000,546.5657493,IND,356
India,1957,40.249,409000000,590.061996,IND,356
India,1962,43.605,454000000,658.3471509,IND,356
India,1967,47.19300000000001,506000000,700.7706107000001,IND,356
India,1972,50.651,567000000,724.032527,IND,356
India,1977,54.208,634000000,813.3373230000002,IND,356
India,1982,56.596,708000000,855.7235377000002,IND,356
India,1987,58.553,788000000,976.5126756,IND,356
India,1992,60.223,872000000,1164.406809,IND,356
